"","Name","ID Number","Date","RTNG"
"404","Gelfand, Boris",2805677,1996-01-01,2700
"405","Gelfand, Boris",2805677,1995-07-01,2685
"406","Gelfand, Boris",2805677,1995-01-01,2700
"407","Gelfand, Boris",2805677,1994-07-01,2680
"408","Gelfand, Boris",2805677,1994-01-01,2685
"409","Gelfand, Boris",2805677,1993-07-01,2670
"410","Gelfand, Boris",2805677,1993-01-01,2690
"411","Gelfand, Boris",2805677,1992-07-01,2685
"412","Gelfand, Boris",2805677,1992-01-01,2665
"413","Gelfand, Boris",2805677,1991-07-01,2665
"414","Gelfand, Boris",2805677,1991-01-01,2700
"415","Gelfand, Boris",2805677,1990-07-01,2680
"416","Gelfand, Boris",2805677,1990-01-01,2615
"417","Gelfand, Boris",2805677,1989-07-01,2590
"418","Gelfand, Boris",2805677,1989-01-01,2600
"419","Gelfand, Boris",2805677,1988-07-01,2585
"420","Gelfand, Boris",2805677,1988-01-01,2505
"421","Gelfand, Boris",2805677,1987-07-01,2510
"422","Gozzoli, Yannick",616915,1999-07-01,2234
"423","Gozzoli, Yannick",616915,1999-01-01,2222
"424","Gozzoli, Yannick",616915,1998-07-01,2220
"425","Gozzoli, Yannick",616915,1998-01-01,2225
"426","Grachev, Boris",4129199,1999-07-01,2251
"427","Grachev, Boris",4129199,1999-01-01,2192
"428","Grachev, Boris",4129199,1998-07-01,2235
"429","Grachev, Boris",4129199,1998-01-01,2205
"430","Grachev, Boris",4129199,1997-07-01,2210
"431","Grachev, Boris",4129199,1997-01-01,2225
"432","Grischuk, Alexander",4126025,1999-07-01,2549
"433","Grischuk, Alexander",4126025,1999-01-01,2482
"434","Grischuk, Alexander",4126025,1998-07-01,2490
"435","Grischuk, Alexander",4126025,1998-01-01,2395
"436","Grischuk, Alexander",4126025,1997-07-01,2335
"437","Grischuk, Alexander",4126025,1997-01-01,2340
"438","Grischuk, Alexander",4126025,1996-07-01,2375
"439","Grischuk, Alexander",4126025,1996-01-01,2365
"440","Gupta, Abhijeet",5010608,1999-07-01,2141
"441","Gustafsson, Jan",4625498,1999-07-01,2436
"442","Gustafsson, Jan",4625498,1999-01-01,2416
"443","Gustafsson, Jan",4625498,1998-07-01,2410
"444","Gustafsson, Jan",4625498,1998-01-01,2385
"445","Gustafsson, Jan",4625498,1997-07-01,2375
"446","Gustafsson, Jan",4625498,1997-01-01,2355
"447","Gustafsson, Jan",4625498,1996-07-01,2340
"448","Gustafsson, Jan",4625498,1996-01-01,2310
"449","Gustafsson, Jan",4625498,1995-07-01,2205
"450","Gustafsson, Jan",4625498,1995-01-01,2185
"451","Gyimesi, Zoltan",702218,1999-07-01,2531
"452","Gyimesi, Zoltan",702218,1999-01-01,2529
"453","Gyimesi, Zoltan",702218,1998-07-01,2525
"454","Gyimesi, Zoltan",702218,1998-01-01,2505
"455","Gyimesi, Zoltan",702218,1997-07-01,2525
"456","Gyimesi, Zoltan",702218,1997-01-01,2500
"457","Gyimesi, Zoltan",702218,1996-07-01,2480
"458","Gyimesi, Zoltan",702218,1996-01-01,2545
"459","Gyimesi, Zoltan",702218,1995-07-01,2525
"460","Gyimesi, Zoltan",702218,1995-01-01,2500
"461","Gyimesi, Zoltan",702218,1994-07-01,2430
"462","Gyimesi, Zoltan",702218,1994-01-01,2360
"463","Gyimesi, Zoltan",702218,1993-07-01,2390
"464","Gyimesi, Zoltan",702218,1993-01-01,2395
"465","Gyimesi, Zoltan",702218,1992-07-01,2445
"466","Gyimesi, Zoltan",702218,1992-01-01,2230
"467","Gyimesi, Zoltan",702218,1991-07-01,2225
"468","Gyimesi, Zoltan",702218,1991-01-01,2240
"469","Gyimesi, Zoltan",702218,1990-07-01,2270
"470","Gyimesi, Zoltan",702218,1990-01-01,2280
"471","Inarkiev, Ernesto",4162722,1999-07-01,2423
"472","Inarkiev, Ernesto",4162722,1999-01-01,2397
"473","Inarkiev, Ernesto",4162722,1998-07-01,2300
"474","Inarkiev, Ernesto",4162722,1998-01-01,2300
"475","Izoria, Zviad",13601733,1999-07-01,2272
"476","Izoria, Zviad",13601733,1999-01-01,2280
"477","Izoria, Zviad",13601733,1998-07-01,2250
"478","Izoria, Zviad",13601733,1998-01-01,2270
"479","Jakovenko, Dmitry",4122356,1999-07-01,2443
"480","Jakovenko, Dmitry",4122356,1999-01-01,2408
"481","Jakovenko, Dmitry",4122356,1998-07-01,2410
"482","Jakovenko, Dmitry",4122356,1998-01-01,2410
"483","Jakovenko, Dmitry",4122356,1997-07-01,2420
"484","Jakovenko, Dmitry",4122356,1997-01-01,2375
"485","Jakovenko, Dmitry",4122356,1996-07-01,2375
"486","Jakovenko, Dmitry",4122356,1996-01-01,2315
"487","Jakovenko, Dmitry",4122356,1995-07-01,2275
